電源|でんげん|Power Supply / Outlet
留守がち|るすがち|Often away from home
この仕事、死ぬほどしんどい|この しごと しぬほどしんどい|This job is killing me
電球|でんきゅう|Light Bulb
植木屋|うえきや|Plant Shop
各地で大雨が降っています。|かくちで おおあめが ふっています|Heavy rain is falling in all regions.
彼の活躍で優勝したよ。|かれの かつやくで ゆうしょうしたよ|His performance led us to win the tournament.
購入する|こうにゅうする|To Purchase
証拠を見つけるまで逮捕はできません。|しょうこを みつけるまで たいほはできません|It is not possible to make an arrest until evidence is found.
老害|ろうがい|problems caused by the elderly (esp. gerontocracy, and elderly people's control 
散らかる|ちらかる|To be in a mess / lie scattered around
見失う|みうしなう|To lose sight of
人工呼吸|じんこうこきゅう|Artificial Respiration (FF7 Saving Priscilla)
歩道|ほどう|Sidewalk / Pavement
日本語は、勉強しなければしないほど分からなくなる|にほんごは べんきょうしなければしないほど わからなくなる|The less you study Japanese, the less you will begin to understand it
世の中をなじる者は世の中からなじられる。|のよのなかをなじる ものは のよのなかからなじられる|He who rebukes the world is rebuked by the world
城下町|じょうかまち|Castle Town
同学年|どうがくねん|Same year in school
逃げ回る|げにげまわる|To run from place to place
長時間の試合で、選手たちは疲労の極みに達していた。|ちょうじかんの しあいで せんしゅたちは ひろうの きわみに たっしていた|The players were totally exhausted during the long lasting game (疲労の程度が最高の状態)
馬肉|ばにく|馬の肉
急接近|きゅうせっきん|Fast approach
秘密をばらす|ひみつをばらす|To spill a secret (the beans)
沖にボートが浮かんでいます。|おきにが うかんでいます|The boat is floating off the coast.
私の留学に当たり父は自分の経験を話してくれた|わたしの りゅうがくに あたり ちちは じぶんの けいけんを はなしてくれた|On the occasion of my study abroad, my father told me about his own experience
彼は頻りに時計を気にしていた。|かれは しきりに とけいを きにしていた|He keeps looking at the clock.
貧血|ひんけつ|Anemia / Anemic
寝言を言う|ねごとを いう|Talk in ones sleep
笑いこける|わらいこける|To laugh heartily
共犯|きょうはん|Joint offense / accessory / complicity
ボールは爆発せんばかりに、膨らんでいた|は ばくはつせんばかりに ふくらんでいた|The ball was expanding as if it was going to explode
感激|かんげき|Deep emotion / inspiration
兄は商社に勤めています。|あには しょうしゃに つとめています|My elder brother works for a trading company.
生み出す|みうみだす|Generate / Produce
彼はお金をだいぶ稼いだらしいよ。|かれはお かねをだいぶ かせいだらしいよ|I hear he earned a lot of money.
腕枕|うで まくら|Using ones arm as a pillow
ど忘れする 「彼女の名前をど忘れした」|ど わすれする かのじょの なまえをど わすれした|Make a fluff [ Forgot her name for a moment ]
大蔵省|おおくらしょう|Ministry of Finance
今日の1時間目は国語です。|きょうの  じかん めは こくごです|The first class today is Japanese. (think, countries language)
この病院は24時間看護です。|この びょういんは  じかん かんごです|This hospital has around-the-clock care.
浮上|ふじょう|To rise to the surface (in our submarine)
手術に至らず、薬だけで治った。|しゅじゅつに いたらず くすりだけで なおった|The medication helped me to recover before I reached the stage of needing an ope
焦る|あせる|Feel pressured / feel hurried
ねぎ|ねぎ|Welsh onion, green onion
お金は無い時は、アルバイトをするより仕方がない|お かねは ない ときはをするより しかたがない|When one doesnt have any money, one doesnt have any choice but to work part time
彼女はその映画に出演しているよ。|かのじょはその えいがに しゅつえんしているよ|She is performing in the movie.
受動喫煙|じゅどうきつえん|Second hand smoking
離席|りせき|Leaving ones seat / keyboard etc
後悔|こうかい|To regret
季節に応じ、体の色を変えるウサギがいる|きせつに おうじ からだの いろを かえるがいる|Depending on the season, there are rabbits that can change their colour ( に応じて )
彼はこの国で大きな権力を持っているわ。|かれはこの くにで おおきな けんりょくを もっているわ|He has a lot of power in this country.
体育館に行って整列しなさい。|たいいくかんに いって せいれつしなさい|Go to the gymnasium and line up.
謎の物体が空を飛んでいます。|なぞの ぶったいが そらを とんでいます|A mysterious object is flying in the sky.
彼の話に私はあいづちを打ったの。|かれの はなしに わたしはあいづちを うったの|I chimed in as he spoke.
自ら|みずから|自分のこと
この本の定価は525円です。|この ほんの ていかは  えんです|The regular price of this book is 525 yen.
知りもしないで偉そうな事を言うな。|しりもしないで えらそうな ことを いうな|Dont act like your an expert when you dont know much about it!
切り離す|りきりはなす|To detach (train carriage!) / cut loose
新聞の活字が読みやすくなったね。|しんぶんの かつじが よみやすくなったね|The newspaper typeface became easier to read.
辞表|じひょう|Letter of resignation
快勝|かいしょう|Sweeping victory / Easy victory
寒いと言っても、湖が凍ることはない|さむいと いっても みずうみが こおることはない|Although I said its cold, the lakes never freeze
通行人|つうこうにん|Passerby / Pedestrian
都立|とりつ|Tokyo metropolitan government run
森林破壊|しんりんはかい|Deforestation
回答者|かいとうしゃ|Respondent
いつ起こるか分からない災害に備えておきましょう|いつ おこるか わからない さいがいに そなえておきましょう|Let's prepare for the disasters we can't see predict
暖まる|あたたまる|To warm up / to get warm
あせらずに時機を待つべきです。|あせらずに じきを まつべきです|You should wait patiently for the right opportunity.
出前|でまえ|home delivery of food
手を繋ぐ|てを つなぐ|To hold hands
球|たま|Globe / Ball
縁起|えんぎ|Omen / Luck
市外|しがい|City outskirts / suburbs
証券を売って資金にしようと思うの。|しょうけんを うって しきんにしようと おもうの|I'm thinking of selling some securities and converting them to funds.
彼は国民の支持を得たのよ。|かれは こくみんの しじを えたのよ|He won the people's support.
互いの話をよく聞きなさい。|たがいの はなしをよく ききなさい|Listen carefully to each other.
この病人はとても助からない。|この びょうにんはとても たすからない|There is no way this patient can possibly be saved.
横断|おうだん|Crossing
海水|かいすい|Seawater
