葬祭装束|しょうぞく|葬式や法事の際に着用する正式な服装のことです。喪服とも呼ばれます。
蜜結合|けつごう|ソフトウェア工学で、モジュール同士が過度に依存している状態を指す専門用語。保守性や再利用性を低下させる問題として否定的に使われる。
蜥蜴|とかげ|爬虫類のトカゲを指す漢字表記で、読みは「とかげ」です。漢字の見た目は難しいですが、日常的にはひらがなかカタカナで書かれることが多いです。
蜥蜴の尻尾切り|ぎ|「蜥蜴の尻尾切り」は、自分の責任を逃れるために、弱い者や部下を犠牲にすることを指す慣用句です。トカゲが危険を感じると自らの尻尾を切り離して逃げる習性から来ています。組織の不祥事などで、責任を下位の者に押し付けて上位者が逃げ切る行為を批判する際に使われます。
蜩|ひぐらし|「蜩（ひぐらし）」は、夏の夕方に「カナカナカナ」と鳴くセミの一種です。その鳴き声は日本の夏の風物詩です。
蜷局|とぐろ|「蜷局（とぐろ）」は、蛇などが体を丸く巻いている状態を指します。比喩的に、何かが渦巻くように巻いている様子にも使われます。
蜻蛉|とんぼ|トンボを表す漢字表記の一つで、和歌や随筆など文語的な場面で見かける表記です。秋の季語としても愛され、日常では平仮名やカタカナの「トンボ」表記が一般的です。「蜻蛉返り」という派生語でも知られています。
蝉|せみ|夏に鳴く昆虫で、日本では夏の風物詩として親しまれています。「セミ」と読みます。「蝉時雨」などの季語としても使われます。
蝋人形|ろうにんぎょう|「ろうにんぎょう」と読み、蝋で作られた人形で、美術館や博物館で展示されることが多いです。蝋人形館といえば、有名人の精密な蝋人形を展示する施設で知られています。
蝕む|むしば|虫が食うように少しずつ内部を破壊していくこと。比喩的に、心や体、社会を徐々にむしばむ様子に使われます。
蝙蝠|こうもり|空を飛ぶ哺乳類の一種で、夜行性で洞窟などに住みます。超音波を使って獲物を探すことで知られています。
蝦蟇口|がまぐち|「蝦蟇口（がまぐち）」は、口金がガマガエルの口のように広く開く形状の財布やバッグの一種（口金財布・口金ポーチ）を指す和製漢語です。語源は、開いた形がガマガエルの口に似ていることから来ています。現代でもがま口財布やがま口バッグとして親しまれています。
蝶々が空中を舞っています。|ま|地面から離れた空の中の空間のことです。飛行機や鳥が飛んでいる場所を指します。
蝶ネクタイ|ちょうねくたい|蝶の形をしたネクタイのことです。フォーマルな場や正装の際に着用されることが多いです。
蝶番|ちょうつがい|
蝸牛|かたつむり|
蝿|はえ|「蝿」は、一般的なハエ（昆虫）のことです。不潔なイメージがあり、食べ物にたかると嫌がられます。ことわざや慣用句でもよく使われ、「蝿の多いところに蝿が集まる」のように、悪いものには悪いものが寄ってくるという意味もあります。
融合|ゆうごう|融合は、異なるものが溶け合って一つになることを意味します。文化や技術、組織などの融合について使われることが多く、化学や物理の分野でも用いられます。ポジティブな文脈で使われることが多く、新しい価値や創造を生み出すイメージがあります。
融和|ゆうわ|
融点|ゆうてん|「融点」は、固体が液体に変わる温度のことです。理科や化学の分野で使われる専門用語です。
融資|ゆうし|「融資」は、銀行や金融機関が個人や企業にお金を貸し出すことを意味します。住宅ローンや事業資金など、比較的大きな金額の貸付に使われる語で、ビジネスや金融の分野でよく登場します。
融資銀行|ぎんこう|「融資銀行」は、企業や個人に対して資金を貸し出す銀行のことで、特に企業向けの融資を専門的に行う銀行を指すことが多いです。投資銀行に近い概念です。
融通|ゆうずう|融通は二つの意味があります。一つは「金銭を貸し借りすること」、もう一つは「臨機応変で柔軟な対応」です。特に「融通が利く」「融通を利かせる」という形で、柔軟性の意味で日常的によく使われます。
融通の利く|き|状況に応じて柔軟に対応できることです。臨機応変な態度や、人の要望に合わせて調整できる能力を指します。
螺子|ねじ|「螺子（ねじ）」は、物体を固定したり締め付けたりするための部品を指します。螺旋状の溝が特徴で、工業製品から日用品まで幅広く使われています。回転運動を直線運動に変換する仕組みとしても重要な役割を果たします。
螺旋状|らせんじょう|渦巻き状にねじれた形のこと。階段（螺旋階段）、スプリング、DNAの二重らせんなど、自然界から人工物まで広く見られる形状。特徴や部品の形状を説明する時に使われる。
螺旋階段|らせんかいだん|中心の軸を回りながら上昇する螺旋状の階段のことです。スペースを節約できるデザインが特徴です。
蟇蛙|ひきがえる|「蟇蛙（ひきがえる）」は、体が大きく、皮膚にいぼがあるガマガエルのことを指します。見た目が美しくないことから、比喩的に「醜い人」の例えにも使われることがありますが、基本的にはカエルの一種を指す具体的な生物名です。
蟠りなく|わだかま|
蟠る|わだかま|
蟷螂|かまきり|
蟹|かに|硬い甲羅と十本の脚を持つ海や川に住む生き物です。食用としても人気があります。
蟻|あり|地面や木の上などに生息する小さな昆虫で、社会性を持ち集団で生活します。日常会話でもよく登場する身近な生き物です。
蠍|さそり|節足動物の一種で、毒針を持つことで知られる蠍を指します。熱帯・乾燥地帯に生息し、星座や毒のイメージで語られることが多い言葉です。
蠢く|うごめ|「蠢く」は、虫や小さな生物が群れでうごめくように動く様子を表します。不気味で気持ち悪い印象を与えることが多いですが、比喩的に「社会が蠢く」「欲望が蠢く」のように、内部で何かが静かに動き始める様子を表すこともあります。
蠱惑的|こわくてき|「蠱惑的（こわくてき）」は、人の心を惑わすほどに魅力的で抗いがたい様子を表します。単なる「魅力的」より強く、見る者を呪縛するような、魔的な吸引力を持つ美しさや誘惑を表現します。文学的な表現で使われることが多いです。
血だまり|ち|流れ出た血液が地面や床に溜まっている状態を指します。事件や事故の現場を連想させる生々しい語で、サスペンスやホラー作品でよく登場します。
血なまぐさい|ち|血なまぐさい（ちなまぐさい）は、血の臭いがする、または血を見るような残酷な様子を意味する形容詞です。殺人や暴力の場面を描写するときに使われ、生々しい残酷さを強調します。
