不完全|ふかんぜん|不完全とは、完全でないこと、不足や欠点がある状態を指します。
丘の上にホテルが建ちましたね。|た|周囲より高くなっているが、山ほどは高くない地形を指します。なだらかな傾斜を持つ小さな高まりです。
丘陵|きゅうりょう|「丘陵」は、なだらかな起伏のある低い山や丘が連なる地形を指します。山脈のような険しい山々ではなく、穏やかな曲線を描く小高い丘の連なりをイメージさせる地理用語です。住宅地やワイナリーなど、景観の美しい場所に使われることが多いです。
丘陵地帯|きゅうりょうちたい|
両側|りょうがわ|物の左右両方の側面を指します。道路や川、建物などの位置を説明するときによく使われます。
両国はお互いに密接な関係がある。|かんけい|二つ以上のものの間に隙間がなく非常に近い関係があることを指します。物理的な近さよりも、関係性や関連性の強さを表すことが多いです。
両国は一切外交関係を断ち切った。|たちき|国と国との間の交渉や関係を処理することを指す政治用語です。また、個人や企業が外部との関係を円滑に進める能力や活動を比喩的に指すこともあります。
両家|りょうけ|二つの家、特に結婚する二人の実家のことを指します。結婚式の「両家の顔合わせ」などでよく使われます。
両家の間には長い葛藤があった|かっとう|「葛藤」は、心の中で相反する感情や考えがぶつかり合って苦しむことを表す名詞です。
両思い|りょうおも|「両思い」は、互いに恋愛感情を持ち合っている状態を指します。一方だけが好きな片思いの対義語で、カジュアルな日常会話でよく使われる親しみやすい表現です。
両手 ／ 諸手|もろて|「両手」は左右両方の手を指します。物を持ったり、何かをするときに両方の手を使う様子を表します。なお、「諸手（もろて）」も同じ意味ですが、やや古風または武道などの専門的な表現です。
両方|りょうほう|二つのものの両方を指します。どちらか一方ではなく、両方ともという意味です。
両日|りょうじつ|二つの日付の両方のことを指します。二日間にわたるイベントや、指定された二つの日付をまとめて表す時に使います。
両替商|りょうがえしょう|「両替商」は、日本円と外国通貨の交換を行う業者や店舗のことです。空港や観光地で見かけることが多く、旅行者がよく利用します。歴史的には江戸時代の両替商が有名です。
両極端|りょうきょくたん|「両極端」は二つの立場や状態が正反対で、その差が非常に大きいことを指します。意見や性質、状況などが対極にある場合に使われ、中間の状態がないことを強調します。
両眼に涙を湛える|たた|「両眼に涙を湛える」は、両方の目に涙が一杯に溜まっている状態を描写する文語的な表現です。「湛える」は「満たす・一杯に含む」という意味で、涙が今にもこぼれ落ちそうな感動的または悲しい場面で使われます。文学的で美しい響きがあります。
両社が合併に合意しました。|ごうい|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
両立|りょうりつ|二つの異なる物事や状態を同時に成り立たせることを意味します。仕事と家庭の両立など、現代社会でよく使われる言葉です。
両者の間に摩擦が生じています。|しょう|「摩擦」は、物体同士がこすれ合うことによる抵抗や、人間関係での意見の食い違いによる対立を指します。
両脇|わき|左右両方の側面やわきの部分のこと。人の体の両脇、道の両側、建物の両脇など、中央に対して左右に位置する部分を指す。
両腕にとどまらず、体全身に火傷した。|かしょう|
両親が日本にいる間に京都に連れていきたい|つ|「都」は、国の政治の中心となる都市、すなわち首都を指す名詞です。日本では特に「東京都」を指すことが多いですが、歴史的には「京都」も「都」と呼ばれました。また、比喩的に「花の都」「夢の都」のように、華やかな中心地を表すこともあります。
両親の健康を案じる|あん|「両親の健康を案じる」は、親の健康状態を心配することを意味する表現です。「案じる」は「心配する」よりもやや硬く、フォーマルな響きがあり、心配と同時に思いやりの気持ちが込められています。手紙や改まった会話で使われることが多いです。
両親の期待に反して女の子が生まれた。|う|「まれ」は「稀」とも書き、発生頻度が非常に低いこと、めったにないことを表します。否定的な文脈でも肯定的な文脈でも使われますが、希少価値があるというニュアンスを含むことが多いです。
両開き|りょうびら|両開きは「ドアや戸が左右両方に開く構造」を意味します。中央から左右に開く観音開きの扉や、両開きの冷蔵庫など、建築や家具の用語として使われます。
両隣|りょうどなり|両隣は、左右両方の隣、または前後両方の隣を指します。家や席などの位置関係を表す際に使われる日常的な言葉です。
並|なみ|特別ではなく、普通の程度や水準であることを表します。平均的で、目立った特徴がないことを意味します。
並々ならぬ|なみなみ|「並々ならぬ」は、普通ではない、特別である、という意味のやや古風な形容詞です。努力や決意、才能などに対して、並大抵ではないことを強調する際に使われ、感嘆や敬意を含むことが多いです。
並べる|なら|複数のものを一列に整頓して置くこと、または複数の事項を順番に挙げることを意味する他動詞です。物理的な配置から抽象的な列挙まで幅広く使います。
並み外れ|はず|
並み居る|い|「並み居る」は、多くの人や物が一列に並んで存在している様子を表す文語的な表現です。「並み居る強豪を倒す」のように、多くの競争相手や挑戦者がいる中で活躍するという文脈で使われます。
並列|へいれつ|「並列（へいれつ）」は、複数のものが一列に並ぶこと、または同じレベルで並行して行われることを指します。電気工学では「並列回路」、コンピュータ科学では「並列処理」のように専門用語として使われることが多く、日常では「横並び」の方がカジュアルです。
