期待感|きたいかん|これから良いことが起こるだろうという予想や望みの気持ちを指します。
来週以降にご足労いただいてもよろしいでしょうか？|そくろう|遠くまで出かけることによって生じる疲れや苦労。足を運ぶ手間。
杯盤狼藉|はいばんろうぜき|宴会の後で、杯や皿が散乱している様子を表す四字熟語です。転じて、乱雑で無秩序な状態を比喩的に指すこともあります。文語的で格調高い表現です。
東アジアの経済はエネルギー価格の上昇で大きな打撃を受けた。|う|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
東京が静かになるのは、お盆のころくらいです|ぼん|「盆」は、食べ物や物を載せる平らな容器を指します。また、「お盆」は先祖の霊を迎える日本の伝統行事で、この二つの意味があります。
東京の人口は年々増えています。|ふ|年を追うごとに変化する様子を表す副詞です。時間の経過に伴う変化を述べる時に使われ、書き言葉でも話し言葉でもよく登場します。
東京の地価は上がり続けているんだ。|つづ|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
東京の産業構造を適切に転換していくことが、東京の産業を活性化させ、ひいては日本の経済力の強化につながっていく。|きょうか|「本の」は数量や程度がごくわずかであることを強調する副詞的表現です。「ほんの少し」「ほんの一時」のように使われます。
東京の町は、どこへ行っても人で込んでいる|こ|文章や本の中の一続きの文字列を指す言葉で、縦書きの文章では横の列を、横書きでは縦の列を意味します。
東京は、人が多いし、それに物価も高いので、住みにくいです|す|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
東京は、物価が高くて、住みにくいらしい|す|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
東京はここ１０年で大きく変貌した|へんぼう|「変貌」は、人や物事の姿や様子が以前とは大きく変わることを表します。「変貌する」「変貌を遂げる」のように使われ、「変化」よりも劇的で印象的な変わり方を示唆します。ポジティブな文脈（街の再生、人の成長）でもネガティブな文脈（悪人に変貌する、荒廃した風景）でも使われます。ニュースや文章でややフォーマルな印象で使われ、日常会話よりは少し改まった表現です。
東京は人口密度が高いです|たか|「密度」は、一定の範囲内にどれだけのものが詰まっているかの度合いを指します。物理的な「人口密度」や「物質の密度」だけでなく、「情報密度の高い文章」のように抽象的な使い方もされます。
東京湾|とうきょうわん|東京都や千葉県、神奈川県に囲まれた大きな湾の名前です。東京の地理や観光の話題でよく登場します。
東京都内及びその周辺の桜の名所はだんだん寂れてゆく|さび|「辺」は、図形や物体の縁を構成する線分や境界を指す幾何学用語です。三次元モデリングや数学の文脈で使われ、面と面の間の境界線を指します。また、日常的には周辺や付近を意味する使い方も一般的です。
東北|とうほく|日本の東北地方を指す言葉です。青森県、岩手県、宮城県、秋田県、山形県、福島県の六県を含む地域です。
東洋|とうよう|「東洋」は、アジア地域、特に東アジアや東南アジアを指す言葉です。西洋（ヨーロッパ・アメリカ）に対する対概念として使われます。
東西南北|とうざいなんぼく|東・西・南・北の四つの方角をまとめて表す言葉です。地理や方位の話題で使われ、漢字四字で全ての方角を表現する便利な表現です。
東証|とうしょう|「東京証券取引所」の略称で、日本最大の証券取引所です。ニュースや経済報道で頻繁に登場し、「東証株価指数」など関連用語も多くあります。
杳として|よう|全く情報がなく、見当もつかない様子を表す文語的な副詞です。「杳として知らせがない」など、連絡や手がかりがまったくない状態を強調します。
杳として行方が知れない。|し|全く情報がなく、見当もつかない様子を表す文語的な副詞です。「杳として知らせがない」など、連絡や手がかりがまったくない状態を強調します。
