私はこの子の保護者です。|ほごしゃ|危険や害から守ること。安全を確保して大切に扱うこと。
税理士|ぜいりし|税金に関する専門家で、納税者の代わりに税務申告をしたり、税務相談に乗ったりする国家資格を持つ人です。
税関|ぜいかん|「税関」は、国境で出入国する人の荷物や貨物を検査し、関税を徴収する政府機関です。空港や港などにあり、海外旅行や貿易の際に関係します。
税関申告書|ぜいかんしんこくしょ|海外旅行などで出入国する際に、税関に提出する書類のことを指します。持ち込む物品や金額などを記入します。
税関申告書に記入してください。|きにゅう|公的な機関に自分の状況や収入を届け出ること。確定申告や税務申告など、行政手続きで頻繁に使われます。
稚拙|ちせつ|
稚気|ちき|「稚気」は子供っぽさや無邪気さを意味する名詞で、やや文語的・書面的な表現です。子供の可愛らしい仕草や、大人でも純真な振る舞いに対して使われます。日常会話では「子供っぽさ」と言う方が一般的です。
稚魚|ちぎょ|孵化して間もない小さな魚。成長段階を指す生物学用語で、観賞魚や食用魚にも使う。
稜線|りょうせん|山の尾根の連なり、稜線を指す登山・地理用語です。特に美しい山のシルエットを描写する時に使われます。
稟議|りんぎ|
種|たね|「種」は、植物の種子を指すほか、物事の種類や原因、カードゲームのスートなど多様な意味を持つ言葉です。非常に基本的な語彙で、日常会話から専門的な文脈まで幅広く使われます。
種々|しゅじゅ|「種々」は「しゅじゅ」と読み、様々な種類があることを表す漢語です。「種々の」「種々様々」のように使われ、書き言葉的でややフォーマルな印象があります。日常会話では「いろいろな」の方が一般的です。
種別|しゅべつ|種類ごとに分けること、またはその区分を指します。データや物品の分類システムについて語る時に使われます。
種明かし|たねあ|マジックや錯覚の仕組みを明かすこと、転じて秘密や策略の真相を暴露することを意味します。ポジティブにもネガティブにも使えますが、ワクワクする秘密が明らかになるニュアンスが含まれます。
種目|しゅもく|「種目」は、競技やコンテストの種類を指します。スポーツの種目（陸上・水泳など）や、ビジネスや学校での「科目」の意味でも使われます。特定の分類の中での個別のカテゴリーを表すフォーマルな言葉です。
稲|いね|「稲」は米の元となる植物で、日本の農業と食文化の中心的存在です。田んぼで育てられ、秋に黄金色の穂をつけます。古くから日本人の生活と深く結びついており、神事や祭りにも登場する重要な植物です。
稲作|いなさく|「稲作」は稲（米）を栽培する農業の一形態です。日本の農業文化の中心であり、田植えから収穫までの一連の作業を指します。日本の食文化や歴史と深く結びついた重要な言葉です。
稲光|いなびかり|「稲光」は、雷の際に光る閃光、つまり稲妻や雷光を指します。夏の夕立などで空が一瞬明るくなる現象です。
稲刈り|いねか|
稲妻|いなづま|雷雲の中で発生する強い光の放電現象。雷光。突然の閃光。
稼ぎ時|どき|「稼ぎ時」は、収入を得る絶好のチャンスや、特に仕事が多く入って稼げる時期を指します。飲食店や観光業では繁忙期、フリーランスや営業職ではチャンスが集中する期間を表現する際に使います。ビジネスシーンでも日常会話でもよく使われる言葉で、ポジティブなニュアンスがあります。「クリスマスはケーキ屋の稼ぎ時だ」のように具体的な商売の文脈でよく登場します。
稼ぐ|かせ|「稼ぐ」は、労働や事業によって収入を得ることを意味する基本的な動詞です。単に「お金を得る」だけでなく、努力して能動的に収入を生み出すというニュアンスが強く、「稼ぐ」という言葉自体に働く意欲や前向きな姿勢が感じられます。また、比喩的に「時間を稼ぐ」「ポイントを稼ぐ」のように、価値あるものを獲得する意味でも使われます。
稼動|かどう|稼動は、機械やシステム、設備が実際に動いて機能している状態を指すビジネス・技術用語です。工場の機械からソフトウェアまで幅広く使われます。
稽古|けいこ|稽古（けいこ）は、芸事や武道などの技能を身につけるための練習や修練を指す言葉です。単なる「練習」より、師匠について長期間かけて技術を磨く伝統的なニュアンスが強いです。
穀潰し|ごくつぶ|「穀潰し」は、働かずにただ食っていくだけの役立たずを指す強い罵倒語です。かなりきつい言葉です。
穀物|こくもつ|「穀物」は、米、小麦、トウモロコシなどの食用になる種子の総称です。人類の主食として世界中で栽培されており、食料安全保障の観点からも重要な農産物です。パン、ご飯、パスタなど、様々な加工食品の原料となります。
穂|ほ|「穂」は、稲や麦などの穀物の先端に実がなる部分を指します。また、筆や槍の先端部分も「穂」と呼びます。農業や書道に関連する文脈で使われることが多いです。
積み上げる|つみあ|「積み上げる」は、物を重ねて高く積むこと、また比喩的に経験や実績を少しずつ蓄積することを意味します。物理的な積み重ねと精神的な蓄積の両方で使われる便利な動詞です。
積み出し人|にん|「積み出し人（つみだしにん）」は、貨物や商品を船やトラックなどに積み込んで出荷する人、つまり発送者や荷主を指す物流・貿易用語です。現代のビジネス現場では「shipper」という英語が一般的ですが、「積み出し人」は日本語として正式な書類用語です。日常会話で使われることはほとんどなく、貿易書類や物流マニュアルなどで見かけます。
積み木|き|積み木は、子供が遊ぶ木製のブロックのことで、積んだり並べたりして遊ぶおもちゃです。比喩的に、物事の基礎や構成要素という意味でも使われます。
