操船|そうせん|船を操作・運転することで、専門的でやや硬い用語です。
教え|おし|「教え」は、知識や技術、道徳などを他者に伝えること、またはその内容を指します。先生や親から子へ、宗教の教義など、幅広い意味で使われます。動詞「教える」の名詞形で、ややフォーマルな響きがあります。
教えを乞う|こ|敬意を込めて相手に教えを請うこと。師匠や専門家に対して使う、謙虚な姿勢を示す表現です。
教わる|おそ|先生や他の人から知識や技術を学ぶことを意味する動詞です。「教える」の受身形に近い意味ですが、より丁寧で謙虚な響きがあります。
教卓|きょうたく|「教卓」は、教室の前方に置かれている教師用の机を指します。教壇の上に置かれ、先生が授業中に教科書や資料を置いたり、採点をしたりするために使われます。
教員|きょういん|学校で生徒に教える仕事をしている人のことです。先生というよりも職業としての正式な呼び方です。
教唆|きょうさ|「教唆」は、他人をそそのかして犯罪や悪事を実行させることを指す法律用語です。刑法上の「教唆犯」としても使われます。単なる「勧める」よりはるかに強い法的ニュアンスがあります。
教官|きょうかん|教官は、学校や訓練所で指導や教育を行う人を指します。特に、軍隊や警察学校、自動車教習所、予備校などの専門的な訓練機関で使われることが多いです。学校の「先生」よりも専門的・実践的な指導者というニュアンスが強く、やや堅い印象の言葉です。
教師|きょうし|教師は、学校などで生徒に知識や技能を教える人の職業を指します。
教師たる者、学生に対して常に公平であるべきだ|こうへい|「対」は、二つのものが向かい合ったり、比較されたりする関係を表す助詞的な名詞です。特に「A対B」の形で、勝負の対戦カードや比較、比率を示すのに使われます。また、漢語の接頭辞として「対称」「対立」「対比」などの複合語の一部としても使われます。単独では「三対一」のような形で使われます。
教師に従順にせよ|じゅうじゅん|「従順」は、人の言うことを素直に聞き、逆らわない性質を表す形容動詞です。子供やペット、部下などに対して使われることが多く、おとなしくて扱いやすいという意味合いがあります。ポジティブにもネガティブにも使われ、文脈によって評価が変わります。
教授はカナダ出身です。|しゅっしん|「出身」は、人が生まれた場所や育った場所、または卒業した学校などを指します。「出身地」「出身校」のように使います。自己紹介や履歴書などでよく使われる重要な言葉です。
教本|きょうほん|特定の分野を学ぶための教科書やマニュアル。学校教育の教科書より実務的・専門的な内容を指すことが多い。
教材|きょうざい|教育や学習のために使う資料や道具のことを指します。学校や教室でよく使われる言葉です。
教条|きょうじょう|「きょうじょう」と読み、疑う余地のない絶対的な教えや原理を指します。宗教や思想などで、批判を受け入れない固定された doctrine というニュアンスです。「教条的」という形容詞形で使われることも多いです。
教皇|きょうこう|「教皇」は、カトリック教会の最高指導者であるローマ教皇を指します。キリスト教カトリック教会のトップとして、全世界の信徒を統率する存在です。日本語では「ローマ教皇」とも呼ばれ、バチカン市国を統治する元首でもあります。宗教的な文脈や国際ニュースで登場する言葉です。
教祖|きょうそ|宗教団体や教派の創始者で、教えの根源となった人物のこと。「教えの祖先」の意。一般的な宗教（キリスト・仏教・イスラム教など）の創始者にも使えるが、日本では特に新興宗教の創始者を指すことが多く、ややセンセーショナルな響きがある。
教科|きょうか|「教科」は、学校教育で教えられる科目の区分を指します。国語、算数、理科、社会などの「教科」に分かれており、それぞれに「教科書」があります。教育制度に関する正式な用語で、日常会話でもよく使われる基本的な語彙です。
教科書|きょうかしょ|「教科書」は、学校の授業で使用するために編集・出版された、学習内容を体系的にまとめた本です。国語、数学、理科など各教科ごとにあり、文部科学省の検定を通過したものが一般的に使われています。
教練|きょうれん|主に軍隊や武道などで行われる規律正しい訓練を指します。特に旧日本軍の軍事教練を連想させる言葉で、現代の教育現場ではほとんど使われません。「厳しい訓練」「型にはまった指導」というイメージがあります。
教義|きょうぎ|「教義」は宗教や思想の基本的な教えや信条を体系化したものを指します。キリスト教、仏教、イスラム教などの宗教で使われるほか、政治思想の分野でも用いられます。硬い学術的な響きを持つ言葉です。
教習所|きょうしゅうじょ|「教習所」は、自動車の運転技術や資格を教える施設のことです。自動車教習所が代表的です。
教職|きょうしょく|教師として働く職業や職務を指します。学校で児童や生徒を教える仕事で、教育に対する責任や使命感を含む言葉です。
教育|きょういく|知識や技能、道徳などを教え育てることを指します。学校での学習だけでなく、家庭や社会での学びも含む広い概念です。
教育制度|きょういくせいど|国や地域が定める教育に関する体系的な仕組みや制度を指します。小学校から大学までの学校体系や、カリキュラムの基準、入試制度などが含まれます。
教育機関|きょういくきかん|学校や塾、大学など、教育を行う施設や組織の総称です。小学校から大学まで、また専門学校や予備校も含まれます。公的なものから私的なものまで幅広い範囲をカバーします。
教訓|きょうくん|「教訓」は、経験や出来事から学んだ教えや戒めを意味します。良い行いを促したり、悪い結果を避けさせるための知恵やアドバイスを含みます。物語の最後に「この話の教訓は…」のように使われることが多く、ためになる内容を伝えます。
