皇后|こうごう|天皇の配偶者である女性の称号です。皇室において最も高い地位の女性を指します。
直面して|ちょくめん|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
相乗|そうじょう|数学では数を掛け合わせること、そして一般には二つ以上のものが組み合わさって互いの効果を高め合うこと（相乗効果）を表します。「シナジー」と訳されるビジネス用語としても定着しており、M&Aや共同作業の文脈でよく使われます。
相乗り|あいの|複数の人が同じ乗り物に一緒に乗ること。また、比喩的に複数の事業や企画が同じ場を共有することにも使う。
相乗りしている人は他の乗客との会話を慎むべきだ。|つつし|言動や行動を控えめにすること。礼儀や道徳に則って自分を律する。
相乗効果|そうじょうこうか|二つ以上の要素が組み合わさることで、個々の効果の合計よりも大きな効果が生まれることを指します。ビジネスやマーケティングでよく使われます。
相互|そうご|「相互」は、二つ以上のものの間で、互いに関係し合ったり影響し合ったりすることを意味します。「相互理解」「相互扶助」「相互リンク」などの複合語でよく使われ、フォーマルな文書やビジネスシーンで頻繁に用いられます。
相互不信|そうごふしん|「相互不信」は、互いに相手を信用しない状態を指します。人間関係や組織間の関係で使われ、信頼が欠如している状況を表します。フォーマルな表現で、ビジネスや政治の文脈でよく使われます。
相互牽制体制の整備|せいび|複数の組織や機関が互いに監視し合い、権力の濫用を防ぐ仕組みを作ること。
相互理解は平和を促進する。|そくしん|「促進」は、物事の進行や発展を早めることを指します。ビジネスや政策、経済などの分野でよく使われるフォーマルな言葉です。「販売促進」「成長促進」のように、目的を達成するための積極的な働きかけを表します。
相伴|しょうばん|「相伴（しょうばん）」は、食事や恩恵などを「一緒にいただく」「ご相伴にあずかる」という意味のやや古風な表現です。特に「ご相伴にあずかる」という謙譲表現で使われることが多く、目上の人から食事やごちそうに招かれた際に、恐縮しながらも一緒に楽しませていただくという気持ちを表します。単なる「ごちそうになる」よりも丁寧で格式ばった響きがあります。
相反|そうはん|「相反」は、二つの物事が互いに反対の性質や方向を持ち、両立しないことを意味します。学術的・抽象的な文脈で使われることが多く、「相反する利益」や「相反する性質」のように使います。
相場|そうば|商品や株などの市場での一般的な価格や値段を指します。また、相場観として「世間一般の評価」という意味でも使われます。
相容れない|あいい|二つのものが互いに調和せず、一緒に成り立たないことを意味します。意見や立場、性質などが全く合わない場合に使われます。
相対性理論|そうたいせいりろん|「相対性理論」はアインシュタインが提唱した物理学の理論で、時間と空間の関係を説明するものです。難しい理論として有名で、一般相対性理論と特殊相対性理論の二つがあります。
相対性理論の創案者はアインシュタインであった。|そうあんしゃ|新しいアイデアや仕組みを初めて考え出した人。発明者や考案者と似ていますが、より立案的なニュアンスが強いです。
相対的|そうたいてき|「相対的」は、他のものとの比較や関係において成り立つ様子を表す形容動詞です。絶対的な基準があるわけではなく、状況や比較対象によって変わることを示します。哲学や科学の分野でよく使われるややフォーマルな言葉です。
相対的に見るとこの国の景気は悪くはない|わる|経済の全体的な活気や状態を指します。好景気、不景気などのように使われます。
相当|そうとう|数量や程度がかなり大きいことを表す言葉です。また、何かに匹敵するという意味もあります。
相応|そうおう|釣り合いが取れていること。値段や地位、年齢などに見合っている状態を表す。ややフォーマル。
相応しい|ふさわ|ある状況や条件にぴったり合っていること、ふさわしいことを表します。名誉や地位、役割などに使います。
相性|あいしょう|人と人、または人と物の間の関係の良し悪し。日常会話で非常によく使われます。
相成る|あいな|「相成る」は「〜になる」の非常に丁寧な言い方で、改まった場面や公式な発表で使われます。「相」は接頭語で動詞を上品にします。現代では「このたび〜すること相成りました」などの形で、ビジネスメールやスピーチで用いられます。
