幾日|いくにち|多くの日数、何日も。はっきりとした日数ではなく、かなりの期間を表す。
引きずり出す|ひきずりだ|「引きずり出す（ひきずりだす）」は、無理やり外に連れ出す、または強制的に引っ張り出して露出させることを意味する動詞です。物理的に人を部屋から引きずって出す場合と、比喩的に秘密や真実を無理やり明るみに出す場合の両方に使われます。
引きずり込む|ひきずりこ|人や物を無理に引っ張って中に入れることを指します。比喩的に、嫌なことに巻き込むという意味もあります。
引きずる|ひ|物を地面に擦らせながら無理に引っ張る。比喩的には、過去の出来事や感情を長く持ち続けるという意味でも使われる。
引きちぎる|ひ|「引きちぎる」は、力を込めて引っ張って物を無理に切り離すことを意味します。紙や布、取っ手など、物理的なものを引き裂いたり壊したりする動作に使われます。荒々しく力強いニュアンスがあります。
引きはがす|ひ|引きはがすは、くっついているものを無理に離すことを意味する動詞です。物理的にはがすことから、比喩的に人を地位や集団から引き離す意味でも使われます。
引き上げる|ひきあ|「引き上げる」は「引いて上に上げる」という基本動作の他に、比喩的に「水準や価値を上げる」「撤退する・帰還する」という意味もあります。また、給料や給与を「引き上げる」という使い方も重要です。
引き上げる　（Another meaning)|ひきあ|「引き上げる」は「引いて上に上げる」という基本動作の他に、比喩的に「水準や価値を上げる」「撤退する・帰還する」という意味もあります。また、給料や給与を「引き上げる」という使い方も重要です。
引き下げる|ひきさ|高い位置にあるものを低い位置に移動させること、または価格や評価を低くすることを意味します。
引き伸ばす|ひきの|「引き伸ばす」は、物理的に長く延ばすことと、時間や期限を延ばすことの両方の意味があります。物理的な用法では写真の引き伸ばしなど、比喩的な用法では「話を引き伸ばす」のように使われます。
引き倒す|たお|引っ張って対象を倒すこと、または強引に人を連れて行くことを意味します。
引き値|ね|「引き値」は、取引や交渉において買い手が提示する価格、つまり買値を意味します。株式や為替などの金融取引では「ビッド価格」と呼ばれ、売り手の提示する「売り値（アスク価格）」と対になる言葉です。相場や商談の文脈で使われる専門用語で、日常会話ではあまり登場しません。
引き出しの整頓には仕切りが便利です|べんり|「整頓」は、物をきちんと整理して、決まった場所に整えることを意味します。「整理整頓」という形でよく使われ、職場や家庭での秩序ある状態を表す際に用いられます。
引き出す|ひきだ|「引き出す」は、中にあるものを外に出すことや、人の能力や才能を発揮させることを意味します。具体的な動作から抽象的な意味まで幅広く使われる便利な動詞です。
引き分け|ひきわ|試合や勝負で勝ち負けがつかず、どちらも同じ点数や結果だった場合を指します。
引き剥がす|へ|「引き剥がす」は、貼り付いているものやくっついているものを、力を入れて無理やり離すことを意味します。シールやポスターを剥がすような物理的な行為から、人をある場所や関係から無理に離すという比喩的な意味まで使われます。やや粗暴な印象を与える言葉です。
引き取る|ひきと|人や物を自分が責任を持って受け取る・預かる意味。遺体を引き取る、子供を引き取るなどの重要な行為から、単に商品を受け取るまで幅広い。
引き受ける|ひきう|引き受けるは、仕事や責任を自分から進んで受け持つことを意味する動詞です。依頼や任務を快く引き受ける時に使われます。
引き合いに|ひきあ|ある物事を例えや参考として挙げることを意味する連語です。議論や説明の際に、他の事例を比較対象として出すときに使われます。
引き合わせ|ひきあ|
引き寄せる|ひきよ|手を伸ばして物や人を自分の方に近づけること。比喩的には「運を引き寄せる」などの使い方もあります。
引き当てる|あ|「引き当てる」は、偶然や幸運によって良いものを手に入れることを意味します。宝くじに当たったり、抽選で当選したり、思いがけず良い席を確保できた時などに使います。
引き払う|ひきはら|今まで住んでいた場所を片付けて出ていくこと。単なる引っ越しより、完全に明け渡すニュアンスが強いです。
引き抜く|ひきぬ|物理的に引っ張って抜くことと、他社や他部署から優秀な人材を獲得する比喩的用法がある。転職・ヘッドハンティングの文脈でよく使われる。
引き換えに|ひきか|一方の事柄と反対の性質・状態が他方にあることを示す。AとBを対比して「Aに対してBは逆に」という意味。また「～と引き換えに」で「～と交換に」という意味もある。
