進むべきか退くべきか、はっきりとはわからなかった|しりぞ|後ろに下がる、その場から離れる。身を引く、辞任するなど比喩的な意味も持ちます。
遠出|とおで|「遠出」は、普段の行動範囲を超えて遠くへ出かけることを指します。旅行や日帰りのお出かけに使います。
遠吠え|とおぼ|
遠回し|とおまわ|「遠回し（とおまわし）」は、直接的に言わずに遠回しに伝える表現方法を指します。日本語のコミュニケーションでは、直接的な言い方を避ける文化を反映してよく使われる言葉です。「遠回しな言い方」「遠回しに伝える」のように使います。「婉曲（えんきょく）」と似ていますが、遠回しの方が日常的です。
遠回しの拒絶|きょぜつ|「遠回しの拒絶」は、直接的に「嫌です」と言わずに、婉曲的な表現で断ることを意味します。相手を傷つけないように気を遣いながら、しかし確実に拒否の意図を伝える方法です。日本語の間接的なコミュニケーション文化を反映した表現です。
遠回り|とおまわ|「遠回り」は、目的地に直接向かわずに、遠い道を通ることを意味します。物理的な経路だけでなく、人生や方法論において非効率な道を選ぶ比喩としても使われます。
遠因|えんいん|
遠大|えんだい|遠大は、計画や構想が非常に大きく、将来にわたって広がりがある様子を表します。スケールの大きいビジョンや目標に使われることが多いです。
遠巻き|とおま|「遠巻き」は、直接近づかずに遠くから取り囲むように見たり行動したりすること。直接関わらずに様子を窺うニュアンス。「遠巻きに見る」「遠巻きにする」などの形で使う。
遠征|えんせい|「遠征」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
遠心力|えんしんりょく|円運動をする物体に働く、中心から遠ざかる方向の力を指します。物理や工学の分野で使われる基本的な概念です。
遠慮がち|えんりょ|「遠慮がち」は、自分の意見や行動を控えめにし、相手に気を遣って出しゃばらない様子を表します。性格や態度を表現するときに使われ、消極的で慎み深いニュアンスがあります。
遠慮する|えんりょ|控えめに行動すること、相手に気を遣って自分の欲求を抑えることを意味します。
遠投|えんとう|「遠投」は遠くに物を投げることを意味し、特に野球や陸上競技で使われます。
遠方|えんぽう|「遠方」は、遠く離れた場所を指します。距離的に遠いことだけでなく、心理的にも遠いニュアンスを含むことがあります。やや改まった表現です。
遠方ご足労をかけて済みません|す|遠くまで出かけることによって生じる疲れや苦労。足を運ぶ手間。
遠景|えんけい|遠景は「遠くから見た景色」を意味する名詞です。写真や絵画、風景描写などで、遠くに広がる景色を指す際に使われます。対義語は「近景」です。観光や芸術の分野でよく用いられる語です。
遠洋漁業|えんようぎょぎょう|「遠洋漁業」は、遠く離れた大海原で行う漁業のことです。日本の近海ではなく、太平洋など遠い海域で数週間から数ヶ月かけて漁を行います。
遠目|とおめ|遠くから見ること、または遠くが見える視力の良さを指します。近視の反対の意味もあります。
遠縁|とおえん|「遠縁」は血縁関係が遠い親戚を指します。結婚式や法事などでたまに会う程度の関係で、日常的に付き合いがない場合が多いです。
遠足|えんそく|「遠足」は、学校などの団体で、電車やバスを使って少し遠くへ出かける行事のことです。主に小学校や幼稚園で行われ、遊びや見学を通じて楽しく学ぶことを目的としています。
遠足に水筒を持っていきました|も|飲み物を持ち運ぶための携帯用容器。保温・保冷機能があるものも多い。
遠距離恋愛|えんきょりれんあい|二つのものの間に存在する空間的な隔たりを指します。物理的な長さだけでなく、人間関係の親密さの度合いにも使います。
遠路|えんろ|「遠路」は遠い道のりや距離を指すやや文語的な表現です。「遠路はるばる」という形でよく使われ、遠くから来たことに対する感謝や敬意を含むことが多いです。手紙やスピーチなどで使われることがあります。
遠近法|えんきんほう|絵画や写真で、遠くのものを小さく、近くのものを大きく描くことで奥行きや立体感を表現する技法です。ルネサンス期に確立された線遠近法が有名ですが、色彩遠近法などもあります。
遠隔|えんかく|距離が離れていること、または遠く離れた場所とのやり取りを指します。遠隔操作や遠隔医療などに使います。
遠隔操作の|えんかくそうさ|距離が離れていること、または遠く離れた場所とのやり取りを指します。遠隔操作や遠隔医療などに使います。
