义肢|yìzhī|NOUN artificial (or prosthetic) limb
留恋|liúliàn|to be reluctant to leave; to cherish a memory or placeNuances:Expresses affectionate attachment to a person, place, or period, often with nostalgia.Example Sentences:毕业时，他对校园生活十分留恋。(At graduation, he 
分毫|fēnháo|NOUN fraction; iota &#19981;&#24046;&#20998;&#27627; b&#249; ch&#257; f&#275;nh&#225;o without the slightest error; just right
辨别方向|biànbiéfāngxiàng|take one&#8217;s bearings
聚精会神|jùjīng-huìshén|To be engrossed; to concentrate intently; to be all attentionNuance:聚精会神 is a vivid idiom that describes the state of being fully focused and absorbed in an activity, with complete attention and menta
点名|diǎn//míng|VERB 1&#9;call the roll; check attendance &#32769;&#24072;&#28857;&#20102;&#21517;&#12290; L&#462;osh&#299; di&#462;n le m&#237;ng. The teacher called the roll. &#25105;&#21040;&#30340;&#26102;&#20505
关押|guānyā|To detain; to imprison; to keep in custody.Nuance: 关押 is a formal term widely used in legal, law enforcement, and media contexts to describe holding someone in confinement, usually awaiting trial or s
若有所思|ruòyǒusuǒsī|Lost in thought, as if pondering somethingNuance若有所思 is a descriptive idiom used when someone appears to be deep in thought, as if reflecting on or mulling over something. It conveys an impression of 
喷洒|pēnsǎ|VERB spray; sprinkle &#21943;&#27922;&#20892;&#33647; p&#275;ns&#462; n&#243;ngy&#224;o spray insecticide
断气|duàn//qì|VERB 1&#9;breathe one's last; die 2&#9;cut off the gas; gas stoppage
瞒不过|mánbùguò|cannot conceal (a matter) from (sb)
死守|sǐshǒu|VERB 1&#9;defend to the death; make a last-ditch defence &#27515;&#23432;&#38453;&#22320; s&#464;sh&#466;u zh&#232;nd&#236; defend the position to the last 2&#9;obstinately cling to &#27515;&#23432;&#
死到临头|sǐdào-líntóu|IDIOM be faced with imminent death; One's last hour has come.
击毙|jībì|VERB shoot dead &#22235;&#21517;&#21290;&#24466;&#34987;&#24403;&#22330;&#20987;&#27609;&#12290; S&#236; m&#237;ng f&#283;it&#250; b&#232;i d&#257;ngch&#462;ng j&#299;b&#236;. Four bandits were shot d
珍藏|zhēncáng|NOUN collection of rare and valuable articles VERB collect (rare books, art, etc.)
攻占|gōngzhàn|VERB attack and occupy; storm and capture
