讨好|tǎo//hǎo|VERB 1&#9;ingratiate oneself with; fawn on; toady to; curry favour with &#35752;&#22909;&#39046;&#23548; T&#462;oh&#462;o l&#464;ngd&#462;o curry favour with the leadership &#20182;&#24819;&#35752;&#2
郁郁葱葱|yùyù-cōngcōng|ADJECTIVE lush and green &#33485;&#26494;&#32736;&#26575;&#37057;&#37057;&#33905;&#33905;&#12290; C&#257;ngs&#333;ngcu&#236;b&#462;i y&#249;y&#249;c&#333;ngc&#333;ng. Green and luxuriant are the pines
崎岖|qíqū|ADJECTIVE rugged &#23665;&#36335;&#23822;&#23702;&#19981;&#24179;&#12290; Sh&#257;nl&#249; q&#237;q&#363; b&#249; p&#237;ng. The mountain path is rugged and uneven. &#23398;&#20064;&#30340;&#36947;&#3
免掉|miǎndiào|1&#9;to eliminate 2&#9;to scrap
压抑|yāyì|To suppress; to constrain; to feel depressed or stifled.Nuance: 压抑 refers to the act of holding back or restraining emotions, desires, or actions, and it can also describe the resulting feeling of hea
沿袭|yánxí|Inherit; follow; carry on (a tradition, custom, or practice)Nuance: 沿袭 refers to the act of continuing or adopting existing customs, practices, methods, or patterns from the past, often without signif
辱骂|rǔmà|VERB abuse; call sb. names; hurl insults &#36785;&#39554;&#21644;&#24656;&#21523;&#20915;&#19981;&#26159;&#25112;&#26007;&#12290;(&#40065;&#36805;) R&#468;m&#224; h&#233; k&#466;ngh&#232; ju&#233;b&#2
趾高气扬|zhǐgāo-qìyáng|IDIOM strut about and give oneself airs; be swollen with arrogance &#36286;&#39640;&#27668;&#25196;, &#30446;&#20013;&#26080;&#20154; zh&#464;g&#257;oq&#236;y&#225;ng, m&#249;zh&#333;ngw&#250;r&#233;n
忧心忡忡|yōuxīn-chōngchōng|Deeply Worried / Anxious / Heavy-HeartedNuance忧心忡忡 is a vivid idiom that describes a state of deep worry, anxiety, and unease. The reduplicated character "忡忡" conveys the sound or feeling of a heart b
烟灰|yānhuī|NOUN 1&#9;tobacco or cigarette ash 2&#9;soot; soot dust ADJECTIVE ashy (or smoke) grey
合伙|héhuǒ|To partner; to collaborate; to team up (in business or an endeavor).Nuance合伙 is a verb that describes joining together with others to pursue a common goal, typically in business or a joint endeavor. I
看望|kànwang|Visit; call on; pay a visit (usually to someone in person, often for care or courtesy)Nuance: 看望 emphasizes visiting someone with a purpose of care, concern, or respect, rather than a casual or social
有朝一日|yǒuzhāo-yīrì|One day; someday; in the future (with hope or aspiration)Nuance: 有朝一日 conveys a sense of hopeful anticipation for the future. It often implies a goal, dream, or aspiration that one wishes to achieve, 
频繁|pínfán|ADJECTIVE frequent; often &#20004;&#22269;&#20154;&#27665;&#20132;&#24448;&#39057;&#32321; Li&#462;ng gu&#243; r&#233;nm&#237;n ji&#257;ow&#462;ng p&#237;nf&#225;n frequent contacts between the people
适宜|shìyí|suitable; appropriate; fittingNuances:Describes conditions or actions that are well-matched to a context (e.g., climate, timing, suitability). Neutral and formal.Example Sentences:这个温度适宜植物生长。(This tem
棉花|miánhua|NOUN 1&#9;GENERAL NAME FOR cotton (Gossypium) 2&#9;cotton fibres, used for spinning, wadding, etc. 3&#9;weak-willed person; person who is easily swayed
京剧|jīngjù|NOUN Beijing opera
着迷|zháo//mí|VERB fascinated; captivated &#35266;&#20247;&#36234;&#30475;&#36234;&#30528;&#36855;&#12290; Gu&#257;nzh&#242;ng yu&#232; k&#224;n yu&#232; zh&#225;om&#237;. The audience watched the performance with 
咋舌|zhàshé|VERB LITERARY speechless; breathless (with wonder or fear) &#26434;&#25216;&#28436;&#21592;&#30340;&#24778;&#38505;&#21160;&#20316;&#20351;&#35266;&#20247;&#20026;&#20043;&#21643;&#33292;&#12290; Z&#2
鼓胀|gǔzhàng|VERB bulge; swell NOUN CHINESE MEDICINE distension of abdomen caused by accumulation of gas or fluid due to dysfunction of liver and spleen; tympanites
消灾|xiāo//zāi|VERB be rid of calamities &#28040;&#28798;&#20813;&#31096; xi&#257;o z&#257;i mi&#462;n hu&#242; avert calamities; avoid disasters &#31048;&#27714;&#31070;&#28789;&#28040;&#28798;&#38477;&#31119; Q&#2
胶囊|jiāonáng|NOUN PHARMACY (gelatin) capsule
出于|chūyú|to stem from; to be out of; motivated byNuance:出于 (chū yú) is a preposition that introduces the motive, cause, or origin of an action or state. It points to the underlying reason or basis for somethin
安然无恙|ānrán-wúyàng|IDIOM safe and sound; (escape) unscathed &#25191;&#34892;&#20219;&#21153;&#21518;&#23433;&#28982;&#26080;&#24665;&#22320;&#36820;&#22238; Zh&#237;x&#237;ng r&#232;nwu h&#242;u &#257;nr&#225;nw&#250;y&
不修边幅|bùxiū-biānfú|IDIOM careless about one's appearance; slovenly &#20182;&#20174;&#19981;&#20462;&#36793;&#24133;&#12290; t&#257; c&#243;ng b&#249;xi&#363;bi&#257;nf&#250;. He never pays any attention to his appearanc
接见|jiējiàn|VERB receive sb.; grant an interview to &#25509;&#35265;&#35760;&#32773; ji&#275;ji&#224;n j&#236;zh&#283; give an interview to reporters &#25509;&#35265;&#22806;&#23486; Ji&#275;ji&#224;n w&#224;ib&#
险恶|xiǎn'è|ADJECTIVE 1&#9;dangerous; perilous; ominous &#30149;&#24773;&#38505;&#24694; b&#236;ngq&#237;ng xi&#462;n'&#232; dangerously ill &#22788;&#22659;&#38505;&#24694; Ch&#468;j&#236;ng xi&#462;n'&#232; in 
忠贞|zhōngzhēn|ADJECTIVE loyal and steadfast &#24544;&#36126;&#19981;&#23624; zh&#333;ngzh&#275;nb&#249;q&#363; staunch and indomitable
嗜血|shìxuè|VERB bloodthirsty; bloodsucking
来犯|láifàn|VERB come to attack us; invade our territory &#22362;&#20915;&#28040;&#28781;&#25954;&#20110;&#26469;&#29359;&#20043;&#25932;&#12290; Ji&#257;nju&#233; xi&#257;omi&#232; g&#462;ny&#250; l&#225;if&#224
奢望|shēwàng|NOUN extravagant hopes; wild wishes &#25105;&#23545;&#27492;&#19981;&#25265;&#22882;&#26395;&#12290; W&#466; du&#236; c&#464; b&#249; b&#224;o sh&#275;w&#224;ng. I entertain no high hopes in this rega
荒废|huāngfèi|Neglected; abandoned; left to decay.Nuance: 荒废 describes something that has been abandoned or left unused for a long time, leading to deterioration, decay, or loss of value. It can refer to physical p
忍耐|rěnnài|VERB exercise patience (or restraint); restrain oneself &#26080;&#27861;&#24525;&#32784; w&#250;f&#462; r&#283;nn&#224;i out of patience &#20320;&#36824;&#26159;&#24525;&#32784;&#19968;&#28857;&#20799
观光|guānguāng|Sightseeing / TouringNuance观光 is a verb that specifically means "to go sightseeing" or "to tour." It emphasizes the activity of visiting places of interest, scenic spots, or landmarks primarily for pl
致敬|zhìjìng|VERB salute; pay one's respects to; pay tribute to &#40483;&#31036;&#28846;&#20108;&#21313;&#19968;&#21709;&#33268;&#25964; m&#237;ng l&#464;p&#224;o &#232;rsh&#237;y&#299; xi&#462;ng zh&#236;j&#236;n
划分|huàfēn|To divide; to partition; to classify.Nuance划分 refers to the act of separating a whole into parts according to certain standards, boundaries, or categories. It can apply to concrete things like land, r
情趣|qíngqù|1. charm; delight 2. romantic appeal; sexual chemistryNuances:This term celebrates aesthetic or emotional appeal that brings pleasure, ranging from artistic taste to intimate spark. Context determines
愤慨|fènkǎi|Indignation; righteous angerNuance:愤慨 describes a strong, morally charged anger provoked by injustice, unfairness, or unethical actions. It is not a personal, petty rage but a deep sense of outrage ro
哀悼|āidào|NOUN condolences &#21521;&#27515;&#32773;&#23478;&#23646;&#34920;&#31034;&#28145;&#20999;&#30340;&#21696;&#24764; xi&#224;ng s&#464;zh&#283; ji&#257;sh&#468; bi&#462;osh&#236; sh&#275;nqi&#232; de &#2
走投无路|zǒutóu-wúlù|IDIOM have no way out; in an impasse; come to a dead end &#36924;&#24471;&#36208;&#25237;&#26080;&#36335; b&#299; de z&#466;ut&#243;uw&#250;l&#249; driven ( or pushed) to the wall &#31351;&#22256;&#28
排练|páiliàn|to rehearse; rehearsalNuances:This term describes the process of practicing a performance—such as a play, dance, or speech—before the actual presentation. It implies repetition and refinement.Example 
柔顺|róushùn|ADJECTIVE gentle and agreeable; meek; compliant; supple &#24615;&#24773;&#26580;&#39034; x&#236;ngq&#237;ng r&#243;ush&#249;n of gentle disposition; meek and mild
淋漓|línlí|ADJECTIVE LITERARY 1&#9;dripping wet &#22823;&#27735;&#28107;&#28435; d&#224;h&#224;nl&#237;nl&#237; sweat all over &#40092;&#34880;&#28107;&#28435; xi&#257;nxu&#232;l&#237;nl&#237; dripping with bloo
铭记|míngjì|NOUN inscription; epigraph VERB bear firmly in mind; always remember &#38125;&#35760;&#22312;&#24515; m&#237;ngj&#236; z&#224;ix&#299;n always bear in mind &#24744;&#30340;&#24681;&#24773;&#25105;&#20
伤脑筋|shāng//nǎojīn|ADJECTIVE COLLOQUIAL knotty; troublesome; bothersome; cause sb. a headache &#20260;&#33041;&#31563;&#30340;&#38382;&#39064; sh&#257;ng n&#462;oj&#299;n de w&#232;nt&#237; knotty problem; headache &#32
特长|tècháng|NOUN what one is skilled in; strong point; speciality; talent &#21457;&#25381;&#27599;&#20010;&#20154;&#30340;&#29305;&#38271; F&#257;hu&#299; m&#283;i ge r&#233;n de t&#232;ch&#225;ng give full scope
咣当|guāngdāng|ONOMATOPOEIA bang; crash &#30896;&#24471;&#21667;&#24403;&#21667;&#24403;&#21709; P&#232;ng de gu&#257;ngd&#257;nggu&#257;ngd&#257;ng xi&#462;ng bang against each other
缺德|quē//dé|VERB be mean (or wicked, rotten) &#20570;&#32570;&#24503;&#20107; Zu&#242; qu&#275;d&#233;sh&#236; do sth. mean; play a mean trick &#36825;&#26679;&#23545;&#24453;&#22905;&#30495;&#32570;&#24503;&#122
特工|tègōng|NOUN 1&#9;secret service 2&#9;special agent &#28508;&#20239;&#29305;&#24037; qi&#225;nf&#250; t&#232;g&#333;ng undercover agent
金蝉脱壳|jīnchán-tuōqiào|IDIOM slip out of a predicament like a cicada sloughing its skin&#8212;escape by cunning manoeuvring
穿越|chuānyuè|VERB pass through; cut across &#31359;&#36234;&#22269;&#22659; Chu&#257;nyu&#232; gu&#243;j&#236;ng cross the border &#38081;&#36335;&#31359;&#36234;&#21407;&#22987;&#26862;&#26519;&#12290; Ti&#283;l&
校花|xiàohuā|NOUNthe prettiest girl in the school (see also xiàocǎo [校草])
奉旨|fèng//zhǐ|by imperial decree; under orders (from a superior)Nuances:This historical term literally means "receiving the emperor's command," implying unquestionable authority behind an action. Modern usage can b
贴身|tiēshēn|ADJECTIVE 1&#9;next to the skin &#36148;&#36523;&#34915;&#26381; ti&#275;sh&#275;n y&#299;fu underclothes; underclothing 2&#9;(of clothes) fit nicely; well-fitting; snug 3&#9;constantly accompany &#36
保镖|bǎobiāo|NOUN bodyguard VERB (-//-) (of armed guards) protect and escort (valuables)
吃醋|chī//cù|VERB be jealous (usu. of a rival in love) &#20182;&#19981;&#36807;&#35831;&#20320;&#22899;&#26379;&#21451;&#36339;&#20102;&#20004;&#27425;&#33310;, &#20320;&#21507;&#20160;&#20040;&#37259;&#21834;&#65
情怀|qínghuái|Sentiment; feelings; emotional disposition; inner emotional worldNuance: 情怀 refers to the deep feelings, emotional tendencies, or values that someone carries within. It often conveys a sense of person
相劝|xiāngquàn|To advise one another; to counsel each other.Nuance: 相劝 emphasizes mutual persuasion or advice, often in a friendly, caring, or cooperative context. It suggests that two or more people are encouraging
体现|tǐxiàn|to embody; to reflect; to manifest (abstract qualities in concrete form)Nuances:This term describes how intangible concepts (spirit, values, principles) become visible through actions, designs, or sys
