斗士|dòushì|NOUN fighter (for a cause); warrior
误认|wùrèn|VERB mistake; misidentify &#25226;&#26446;&#26576;&#35823;&#35748;&#20316;&#29579;&#26576; b&#462; l&#464; m&#466;u w&#249;r&#232;n zu&#242;w&#225;ng m&#466;u mistake Li for Wang
俺|ǎn|“I” or “me.”Nuance俺 is a colloquial first-person pronoun widely used in northern China, especially in rural or dialectal speech. Unlike the standard 我, which is neutral and universal, 俺 carries a regi
自然而然|zìrán'érrán|IDIOM naturally; automatically; spontaneously; of oneself &#36825;&#23401;&#23376;&#21457;&#32946;&#24555;, &#33258;&#28982;&#32780;&#28982;&#20063;&#23601;&#21507;&#24471;&#22810;&#12290; Zh&#232; h&
斗殴|dòu'ōu|VERB fight; scuffle; fisticuffs &#32858;&#20247;&#26007;&#27572; j&#249;zh&#242;ng d&#242;u'&#333;u gang warfare; gang fight
面黄肌瘦|miànhuáng-jīshòu|IDIOM sallow and emaciated; lean and haggard
肮脏|āngzang|ADJECTIVE 1&#9;dirty; filthy &#32942;&#33039;&#30340;&#34915;&#26381; &#257;ngzang de y&#299;fu dirty clothes &#29983;&#27963;&#22312;&#32942;&#33039;&#30340;&#29615;&#22659;&#37324; Sh&#275;nghu&#243
贫民窟|pínmínkū|slum
波涛|bōtāo|Great waves; billows; surging wavesNuance:波涛 refers to large, powerful, and often turbulent waves, particularly those seen in the open ocean or during a storm. It is a poetic and vivid term that evoke
潮起潮落|cháoqǐ-cháoluò|IDIOM MET ebb and flow LIT fluctuate
畅快|chàngkuài|Carefree; unrestrained; satisfied and happy.Nuance: 畅快 describes a state of physical or emotional relief, joy, or ease, often after tension is released or a desire is fulfilled. It conveys smoothness 
许久|xǔjiǔ|for a long time; quite a whileNuances:A literary term indicating a considerable duration, often used in written or formal speech.Example Sentences:他沉默了许久，终于开口回答。(After remaining silent for a long time
杂念|zániàn|distracting thoughts; mental clutterNuances:This term refers to fragmented, irrelevant, or intrusive thoughts that disrupt focus or inner peace. Often discussed in contexts of meditation, study, or sp
咫尺|zhǐchǐ|A short distance, within close rangeNuance咫尺 literally refers to a very short length (an ancient measure of about eight inches) and figuratively means something or someone being extremely near. It oft
镀金|dùjīn|NOUN gold-plating; gilding; gilt VERB (-//-) 1&#9;gild; cover (or coat) with gold 2&#9;FIGURATIVE acquire gilt [usu. said of students who went abroad to study in order to enhance their social status]
略带|lüèdài|to have (an attribute) to a small degree; to have a touch of
通透|tōngtòu|"clear and transparent," "thoroughly understood," "well-ventilated"Nuance:通透 can be used both literally and figuratively. Literally, it describes something that is clear, bright, or allows air and lig
打磨|dǎmo|To polish; to sand; to hone; to refine (skill or work).Nuance打磨 is a verb that originally refers to the physical process of polishing or sanding a surface—such as wood, stone, metal, or jade—to make i
深渊|shēnyuān|NOUN abyss &#33510;&#38590;&#30340;&#28145;&#28170; k&#468;n&#224;n de sh&#275;nyu&#257;n abyss of suffering (or misery)
幻象|huànxiàng|NOUN mirage; phantom; phantasm
妖魔|yāomó|NOUN evil spirit; demon
奏效|zòu//xiào|VERB prove effective; successful; get the desired result &#36825;&#20010;&#21150;&#27861;&#33021;&#22863;&#25928;&#21527;&#65311; Zh&#232;ge b&#224;nf&#462; n&#233;ng z&#242;uxi&#224;o ma&#65311; Will
飘逸|piāoyì|ethereal; graceful and unrestrained; elegantly detachedNuances:This term describes a quality of lightness, freedom, and refined elegance—whether in physical movement (like flowing hair), artistic styl
清香|qīngxiāng|NOUN delicate fragrance; faint scent &#26216;&#39118;&#21561;&#26469;&#37326;&#33457;&#30340;&#28165;&#39321;&#12290; Ch&#233;nf&#275;ng chu&#299; l&#225;i y&#283;hu&#257; de q&#299;ngxi&#257;ng. The 
倍增|bèizēng|VERB 1&#9;LITERARY double; redouble; multiply &#21191;&#27668;&#20493;&#22686; Y&#466;ngq&#236; b&#232;iz&#275;ng with redoubled courage 2&#9;ELECTRICITY multiple
顶呱呱|dǐngguāguā|ADJECTIVE COLLOQUIAL tip-top; first-rate; excellent
不愧|bùkuì|ADVERB [usu. followed by &#20026; or &#26159;] worthy of; deserve to be called; prove oneself &#19981;&#24871;&#20026;&#27665;&#26063;&#33521;&#38596; B&#249;ku&#236; w&#233;i m&#237;nz&#250; y&#299;n
鸡皮疙瘩|jīpígēda|NOUNgoose bumps &#24819;&#36215;&#37027;&#21487;&#24597;&#30340;&#24773;&#26223;, &#25105;&#27985;&#36523;&#37117;&#36215;&#40481;&#30382;&#30105;&#30249;&#12290;Xi&#462;ngq&#464; n&#224; k&#283;p&#22
没准|méizhǔn|1&#9;not sure 2&#9;maybe
对得起|duìdeqǐ|VERB not let sb. down; treat sb. fairly; worthy of (opp. &#23545;&#19981;&#36215;) &#20320;&#35201;&#25105;&#20570;&#30340;&#20107;&#24773;&#25105;&#37117;&#20570;&#20102;, &#25105;&#24635;&#31639;&#2
