太空步|tàikōngbù|moonwalk (dance)
钙|gài|CHEMISTRY calcium (Ca) &#34917;&#38041; b&#468;g&#224;i take extra calcium; take calcium supplements
纲领|gānglǐng|Program, guiding principle, manifestoNuance纲领 refers to the fundamental guiding ideas or program that outline the direction of action for a group, organization, or movement. It often appears in politi
高涨|gāozhàng|VERB rise; upsurge; run high (opp. &#20302;&#33853;) &#29289;&#20215;&#39640;&#28072;&#12290; W&#249;ji&#224; g&#257;ozh&#224;ng. Prices were skyrocketing. &#32676;&#20247;&#29233;&#22269;&#28909;&#24
歌颂|gēsòng|VERB sing the praises of; extol; eulogize &#27468;&#39042;&#33293;&#36523;&#25937;&#20154;&#30340;&#33521;&#38596; g&#275;s&#242;ng sh&#283;sh&#275;nji&#249;r&#233;n de y&#299;ngxi&#243;ng sing the pr
隔阂|géhé|estrangement; emotional distance; barrier (between people or groups)Nuances:Describes invisible but palpable alienation caused by misunderstandings, differences, or lack of communication. Stronger tha
各抒己见|gèshū-jǐjiàn|"each airs their own views," "everyone expresses their opinion freely" (describes a lively exchange where diverse perspectives are shared).Nuance:Celebrates open dialogue and democratic discussion, of
根深蒂固|gēnshēn-dìgù|IDIOM deep-rooted; ingrained; inveterate &#26681;&#28145;&#33922;&#22266;&#30340;&#20559;&#35265; g&#275;nsh&#275;nd&#236;g&#249; de pi&#257;nji&#224;n deep-rooted (or inveterate) prejudice
公关|gōngguān|NOUN 1&#9;ABBREVIATION = &#20844;&#20849;&#20851;&#31995; public relations (PR) 2&#9;person working in public relations &#25105;&#20204;&#20844;&#21496;&#26377;&#22235;&#20010;&#20844;&#20851;&#19987;
公证|gōngzhèng|notarization; public certificationNuances:This term refers to the official authentication of documents or facts by legal notary institutions, ensuring their validity and preventing disputes.Example Se
供不应求|gōngbùyìngqiú|IDIOM Supply falls short of demand. or Demand exceeds supply.
攻克|gōngkè|VERB capture; take &#25915;&#20811;&#25932;&#20891;&#25454;&#28857; g&#333;ngk&#232; d&#237;j&#363;n j&#249;di&#462;n capture an enemy stronghold &#25915;&#20811;&#25216;&#26415;&#38590;&#20851; g&#33
共计|gòngjì|To total; to amount to; in total.Nuance共计 is a formal verb used to indicate the final sum or total after adding up all individual items. It is commonly used in financial, statistical, and administrati
构思|gòusī|"to conceive; to devise; to plan; conception (of an idea)"Nuance:构思 refers to the process of forming ideas, plans, or designs, especially in creative, literary, or artistic contexts. It emphasizes tho
股东|gǔdōng|NOUN shareholder; stockholder
固有|gùyǒu|intrinsic; inherent; innateNuances:This term describes qualities that are fundamental and unchangeable to something’s nature, often implying these traits exist independently of external influence. It 
光彩|guāngcǎi|brilliance; luster; honorNuances:Can describe literal radiance ("光彩夺目" - dazzling) or figurative glory ("为家族增光彩" - bring honor to the family). Negative form "不光彩" means shameful.Example Sentences:钻石在灯
规格|guīgé|NOUN 1&#9;specifications; standards; norms &#19981;&#21512;&#35268;&#26684; b&#249; h&#233; gu&#299;g&#233; not up to standard; fall short of specifications &#32479;&#19968;&#30340;&#35268;&#26684; T&
过度|guòdù|ADJECTIVE excessive; undue; over- &#36807;&#24230;&#25918;&#29287; gu&#242;d&#249; f&#224;ngm&#249; overgraze &#36807;&#24230;&#24320;&#37319; gu&#242;d&#249; k&#257;ic&#462;i overexploitation &#36807
过失|guòshī|NOUN 1&#9;fault; slip; error &#37027;&#31639;&#19981;&#19978;&#20160;&#20040;&#38169;&#35823;, &#21482;&#26159;&#19968;&#20010;&#36807;&#22833;&#32610;&#20102;&#12290; N&#224; su&#224;nbush&#224;ng sh
过问|guòwèn|To Inquire Into; To Intervene; To Take an InterestNuanceThe word 过问 describes the act of getting involved in or paying attention to a matter, often by asking questions or exercising authority. It can 
过瘾|guò//yǐn|thoroughly satisfying; gratifying to the extremeNuances:This colloquial term describes an experience that intensely scratches an itch—whether it’s indulging a craving (like spicy food), fulfilling a d
和解|héjiě|VERB become reconciled &#37319;&#21462;&#21644;&#35299;&#30340;&#24577;&#24230; C&#462;iq&#468; h&#233;ji&#283; de t&#224;idu adopt a conciliatory attitude &#20004;&#22269;&#24320;&#22987;&#23545;&#35
轰动|hōngdòng|Sensation; stir; to cause a sensation.Nuance: 轰动 describes an event, news, or action that attracts wide attention and excites public discussion. It often implies suddenness and a strong impact on peop
后代|hòudài|NOUN 1&#9;later periods (in history); later ages 2&#9;later generations; descendants; posterity &#20026;&#21518;&#20195;&#30528;&#24819; w&#232;i h&#242;ud&#224;i zhu&#243;xi&#462;ng for the sake of f
画蛇添足|huàshé-tiānzú|IDIOM draw a snake and add feet to it&#8212;ruin the effect by adding sth. superfluous
化肥|huàféi|Chemical FertilizerNuance化肥 is the standard term for chemical or synthetic fertilizer, as opposed to organic manure (有机肥). It refers to industrially produced substances containing essential plant nutr
还原|huán//yuán|VERB 1&#9;return to the original condition or shape; restore 2&#9;CHEMISTRY reduce
回顾|huígù|to look back; to review; to reflect onNuances:This term describes the act of examining past events, experiences, or data for insight, summary, or evaluation. It implies a deliberate, often thoughtful 
会晤|huìwù|to meet (formally); to have a meetingNuances:This formal term describes official, arranged meetings between individuals or groups, often involving leaders, diplomats, or professionals. It implies stru
荤|hūn|meat-based foods; non-vegetarian; (slang) risqué or vulgar contentNuances:This term originally refers to animal-derived foods (contrasted with 素 vegetarian), but modern usage extends to anything "spic
基因|jīyīn|NOUN BIOLOGY gene &#31561;&#20301;&#22522;&#22240; d&#283;ngw&#232;i j&#299;y&#299;n allele &#26174;&#24615;&#22522;&#22240; xi&#462;nx&#236;ng j&#299;y&#299;n dominant gene &#38544;&#24615;&#22522;&#
急功近利|jígōng-jìnlì|IDIOM eager for instant success and quick profits &#21046;&#23450;&#25919;&#31574;&#19981;&#33021;&#24613;&#21151;&#36817;&#21033;, &#35201;&#26377;&#38271;&#36828;&#30340;&#35266;&#28857;&#12290; Zh&
籍贯|jíguàn|Place of origin; ancestral hometown; native place.Nuance籍贯 is a formal noun that refers to a person's ancestral hometown—the place where their family originates, typically tracing back to paternal lin
纪要|jìyào|"minutes (of a meeting)," "summary report"Nuance:纪要 refers to a concise written record of the main points, decisions, and discussions that occurred during a meeting, conference, or official gathering.
加剧|jiājù|VERB aggravate; intensify; exacerbate &#21152;&#21095;&#32039;&#24352;&#23616;&#21183; Ji&#257;j&#249; j&#464;nzh&#257;ng j&#250;sh&#236; aggravate tension &#21152;&#21095;&#20154;&#25163;&#19981;&#36
古铜色|gǔtóngsè|NOUN bronze colour; bronze &#26194;&#25104;&#21476;&#38108;&#33394; sh&#224;i ch&#233;ng g&#468;t&#243;ngs&#232; be bronzed by the sun; be tanned a deep bronze
